Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
09.10.2020,01:42,Jernbanen,58.966341,5.732047,352
09.10.2020,01:42,Valberget,58.9721884,5.7299647,102
09.10.2020,01:42,Posten,58.969721,5.729923,148
09.10.2020,01:42,Jorenholmen,58.971964,5.736688,423
09.10.2020,01:42,St Olav,58.966764,5.730807,382
09.10.2020,01:42,Siddis,58.954126,5.694017,311
09.10.2020,01:42,Forum,58.9523279,5.7046637,371
09.10.2020,01:42,Kyrre,58.969491,5.726946,222
09.10.2020,01:42,Parketten,58.975601,5.721537,339
