Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
29.11.2020,18:48,Jernbanen,58.966341,5.732047,369
29.11.2020,18:48,Valberget,58.9721884,5.7299647,115
29.11.2020,18:48,Posten,58.969721,5.729923,145
29.11.2020,18:48,Jorenholmen,58.971964,5.736688,462
29.11.2020,18:48,St Olav,58.966764,5.730807,414
29.11.2020,18:48,Siddis,58.954126,5.694017,315
29.11.2020,18:48,Forum,58.9523279,5.7046637,376
29.11.2020,18:48,Kyrre,58.969491,5.726946,272
29.11.2020,18:48,Parketten,58.975601,5.721537,345
29.11.2020,18:52,Jernbanen,58.966341,5.732047,368
29.11.2020,18:52,Valberget,58.9721884,5.7299647,114
29.11.2020,18:52,Posten,58.969721,5.729923,146
29.11.2020,18:52,Jorenholmen,58.971964,5.736688,464
29.11.2020,18:52,St Olav,58.966764,5.730807,414
29.11.2020,18:52,Siddis,58.954126,5.694017,315
29.11.2020,18:52,Forum,58.9523279,5.7046637,376
29.11.2020,18:52,Kyrre,58.969491,5.726946,272
29.11.2020,18:52,Parketten,58.975601,5.721537,345
29.11.2020,18:56,Jernbanen,58.966341,5.732047,369
29.11.2020,18:56,Valberget,58.9721884,5.7299647,114
29.11.2020,18:56,Posten,58.969721,5.729923,145
29.11.2020,18:56,Jorenholmen,58.971964,5.736688,465
29.11.2020,18:56,St Olav,58.966764,5.730807,412
29.11.2020,18:56,Siddis,58.954126,5.694017,315
29.11.2020,18:56,Forum,58.9523279,5.7046637,376
29.11.2020,18:56,Kyrre,58.969491,5.726946,273
29.11.2020,18:56,Parketten,58.975601,5.721537,345
29.11.2020,19:00,Jernbanen,58.966341,5.732047,369
29.11.2020,19:00,Valberget,58.9721884,5.7299647,114
29.11.2020,19:00,Posten,58.969721,5.729923,147
29.11.2020,19:00,Jorenholmen,58.971964,5.736688,465
29.11.2020,19:00,St Olav,58.966764,5.730807,412
29.11.2020,19:00,Siddis,58.954126,5.694017,315
29.11.2020,19:00,Forum,58.9523279,5.7046637,376
29.11.2020,19:00,Kyrre,58.969491,5.726946,273
29.11.2020,19:00,Parketten,58.975601,5.721537,345
29.11.2020,19:04,Jernbanen,58.966341,5.732047,368
29.11.2020,19:04,Valberget,58.9721884,5.7299647,114
29.11.2020,19:04,Posten,58.969721,5.729923,146
29.11.2020,19:04,Jorenholmen,58.971964,5.736688,465
29.11.2020,19:04,St Olav,58.966764,5.730807,413
29.11.2020,19:04,Siddis,58.954126,5.694017,315
29.11.2020,19:04,Forum,58.9523279,5.7046637,376
29.11.2020,19:04,Kyrre,58.969491,5.726946,273
29.11.2020,19:04,Parketten,58.975601,5.721537,345
29.11.2020,19:08,Jernbanen,58.966341,5.732047,368
29.11.2020,19:08,Valberget,58.9721884,5.7299647,116
29.11.2020,19:08,Posten,58.969721,5.729923,147
29.11.2020,19:08,Jorenholmen,58.971964,5.736688,466
29.11.2020,19:08,St Olav,58.966764,5.730807,412
29.11.2020,19:08,Siddis,58.954126,5.694017,315
29.11.2020,19:08,Forum,58.9523279,5.7046637,376
29.11.2020,19:08,Kyrre,58.969491,5.726946,273
29.11.2020,19:08,Parketten,58.975601,5.721537,345
29.11.2020,19:12,Jernbanen,58.966341,5.732047,374
29.11.2020,19:12,Valberget,58.9721884,5.7299647,117
29.11.2020,19:12,Posten,58.969721,5.729923,149
29.11.2020,19:12,Jorenholmen,58.971964,5.736688,467
29.11.2020,19:12,St Olav,58.966764,5.730807,412
29.11.2020,19:12,Siddis,58.954126,5.694017,315
29.11.2020,19:12,Forum,58.9523279,5.7046637,376
29.11.2020,19:12,Kyrre,58.969491,5.726946,273
29.11.2020,19:12,Parketten,58.975601,5.721537,345
29.11.2020,19:16,Jernbanen,58.966341,5.732047,374
29.11.2020,19:16,Valberget,58.9721884,5.7299647,116
29.11.2020,19:16,Posten,58.969721,5.729923,149
29.11.2020,19:16,Jorenholmen,58.971964,5.736688,467
29.11.2020,19:16,St Olav,58.966764,5.730807,412
29.11.2020,19:16,Siddis,58.954126,5.694017,315
29.11.2020,19:16,Forum,58.9523279,5.7046637,376
29.11.2020,19:16,Kyrre,58.969491,5.726946,273
29.11.2020,19:16,Parketten,58.975601,5.721537,346
29.11.2020,19:20,Jernbanen,58.966341,5.732047,375
29.11.2020,19:20,Valberget,58.9721884,5.7299647,117
29.11.2020,19:20,Posten,58.969721,5.729923,150
29.11.2020,19:20,Jorenholmen,58.971964,5.736688,467
29.11.2020,19:20,St Olav,58.966764,5.730807,411
