Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
14.10.2020,00:30,Jernbanen,58.966341,5.732047,352
14.10.2020,00:30,Valberget,58.9721884,5.7299647,113
14.10.2020,00:30,Posten,58.969721,5.729923,148
14.10.2020,00:30,Jorenholmen,58.971964,5.736688,444
14.10.2020,00:30,St Olav,58.966764,5.730807,348
14.10.2020,00:30,Siddis,58.954126,5.694017,295
14.10.2020,00:30,Forum,58.9523279,5.7046637,54
14.10.2020,00:30,Kyrre,58.969491,5.726946,195
14.10.2020,00:30,Parketten,58.975601,5.721537,431
