Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
29.10.2020,23:58,Jernbanen,58.966341,5.732047,328
29.10.2020,23:58,Valberget,58.9721884,5.7299647,100
29.10.2020,23:58,Posten,58.969721,5.729923,157
29.10.2020,23:58,Jorenholmen,58.971964,5.736688,457
29.10.2020,23:58,St Olav,58.966764,5.730807,382
29.10.2020,23:58,Siddis,58.954126,5.694017,170
29.10.2020,23:58,Forum,58.9523279,5.7046637,680
29.10.2020,23:58,Kyrre,58.969491,5.726946,301
29.10.2020,23:58,Parketten,58.975601,5.721537,446
30.10.2020,00:02,Jernbanen,58.966341,5.732047,328
30.10.2020,00:02,Valberget,58.9721884,5.7299647,100
30.10.2020,00:02,Posten,58.969721,5.729923,158
30.10.2020,00:02,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:02,St Olav,58.966764,5.730807,382
30.10.2020,00:02,Siddis,58.954126,5.694017,170
30.10.2020,00:02,Forum,58.9523279,5.7046637,680
30.10.2020,00:02,Kyrre,58.969491,5.726946,301
30.10.2020,00:02,Parketten,58.975601,5.721537,446
30.10.2020,00:06,Jernbanen,58.966341,5.732047,328
30.10.2020,00:06,Valberget,58.9721884,5.7299647,100
30.10.2020,00:06,Posten,58.969721,5.729923,158
30.10.2020,00:06,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:06,St Olav,58.966764,5.730807,379
30.10.2020,00:06,Siddis,58.954126,5.694017,170
30.10.2020,00:06,Forum,58.9523279,5.7046637,680
30.10.2020,00:06,Kyrre,58.969491,5.726946,301
30.10.2020,00:06,Parketten,58.975601,5.721537,446
30.10.2020,00:10,Jernbanen,58.966341,5.732047,328
30.10.2020,00:10,Valberget,58.9721884,5.7299647,100
30.10.2020,00:10,Posten,58.969721,5.729923,158
30.10.2020,00:10,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:10,St Olav,58.966764,5.730807,380
30.10.2020,00:10,Siddis,58.954126,5.694017,170
30.10.2020,00:10,Forum,58.9523279,5.7046637,680
30.10.2020,00:10,Kyrre,58.969491,5.726946,301
30.10.2020,00:10,Parketten,58.975601,5.721537,446
30.10.2020,00:14,Jernbanen,58.966341,5.732047,328
30.10.2020,00:14,Valberget,58.9721884,5.7299647,100
30.10.2020,00:14,Posten,58.969721,5.729923,158
30.10.2020,00:14,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:14,St Olav,58.966764,5.730807,380
30.10.2020,00:14,Siddis,58.954126,5.694017,170
30.10.2020,00:14,Forum,58.9523279,5.7046637,680
30.10.2020,00:14,Kyrre,58.969491,5.726946,301
30.10.2020,00:14,Parketten,58.975601,5.721537,446
30.10.2020,00:18,Jernbanen,58.966341,5.732047,328
30.10.2020,00:18,Valberget,58.9721884,5.7299647,100
30.10.2020,00:18,Posten,58.969721,5.729923,158
30.10.2020,00:18,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:18,St Olav,58.966764,5.730807,380
30.10.2020,00:18,Siddis,58.954126,5.694017,170
30.10.2020,00:18,Forum,58.9523279,5.7046637,680
30.10.2020,00:18,Kyrre,58.969491,5.726946,301
30.10.2020,00:18,Parketten,58.975601,5.721537,446
30.10.2020,00:22,Jernbanen,58.966341,5.732047,329
30.10.2020,00:22,Valberget,58.9721884,5.7299647,100
30.10.2020,00:22,Posten,58.969721,5.729923,158
30.10.2020,00:22,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:22,St Olav,58.966764,5.730807,380
30.10.2020,00:22,Siddis,58.954126,5.694017,170
30.10.2020,00:22,Forum,58.9523279,5.7046637,680
30.10.2020,00:22,Kyrre,58.969491,5.726946,301
30.10.2020,00:22,Parketten,58.975601,5.721537,446
30.10.2020,00:26,Jernbanen,58.966341,5.732047,329
30.10.2020,00:26,Valberget,58.9721884,5.7299647,100
30.10.2020,00:26,Posten,58.969721,5.729923,158
30.10.2020,00:26,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:26,St Olav,58.966764,5.730807,380
30.10.2020,00:26,Siddis,58.954126,5.694017,170
30.10.2020,00:26,Forum,58.9523279,5.7046637,680
30.10.2020,00:26,Kyrre,58.969491,5.726946,301
30.10.2020,00:26,Parketten,58.975601,5.721537,446
30.10.2020,00:28,Jernbanen,58.966341,5.732047,329
30.10.2020,00:28,Valberget,58.9721884,5.7299647,100
30.10.2020,00:28,Posten,58.969721,5.729923,158
30.10.2020,00:28,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:28,St Olav,58.966764,5.730807,380
30.10.2020,00:28,Siddis,58.954126,5.694017,170
30.10.2020,00:28,Forum,58.9523279,5.7046637,680
30.10.2020,00:28,Kyrre,58.969491,5.726946,301
30.10.2020,00:28,Parketten,58.975601,5.721537,446
30.10.2020,00:28,Jernbanen,58.966341,5.732047,329
30.10.2020,00:28,Valberget,58.9721884,5.7299647,100
30.10.2020,00:28,Posten,58.969721,5.729923,158
30.10.2020,00:28,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:28,St Olav,58.966764,5.730807,380
30.10.2020,00:28,Siddis,58.954126,5.694017,170
30.10.2020,00:28,Forum,58.9523279,5.7046637,680
30.10.2020,00:28,Kyrre,58.969491,5.726946,301
30.10.2020,00:28,Parketten,58.975601,5.721537,446
30.10.2020,00:28,Jernbanen,58.966341,5.732047,329
30.10.2020,00:28,Valberget,58.9721884,5.7299647,100
30.10.2020,00:28,Posten,58.969721,5.729923,158
30.10.2020,00:28,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:28,St Olav,58.966764,5.730807,380
30.10.2020,00:28,Siddis,58.954126,5.694017,170
30.10.2020,00:28,Forum,58.9523279,5.7046637,680
30.10.2020,00:28,Kyrre,58.969491,5.726946,301
30.10.2020,00:28,Parketten,58.975601,5.721537,446
30.10.2020,00:28,Jernbanen,58.966341,5.732047,329
30.10.2020,00:28,Valberget,58.9721884,5.7299647,100
30.10.2020,00:28,Posten,58.969721,5.729923,158
30.10.2020,00:28,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:28,St Olav,58.966764,5.730807,380
30.10.2020,00:28,Siddis,58.954126,5.694017,170
30.10.2020,00:28,Forum,58.9523279,5.7046637,680
30.10.2020,00:28,Kyrre,58.969491,5.726946,301
30.10.2020,00:28,Parketten,58.975601,5.721537,446
30.10.2020,00:46,Jernbanen,58.966341,5.732047,328
30.10.2020,00:46,Valberget,58.9721884,5.7299647,100
30.10.2020,00:46,Posten,58.969721,5.729923,159
30.10.2020,00:46,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:46,St Olav,58.966764,5.730807,380
30.10.2020,00:46,Siddis,58.954126,5.694017,170
30.10.2020,00:46,Forum,58.9523279,5.7046637,680
30.10.2020,00:46,Kyrre,58.969491,5.726946,301
30.10.2020,00:46,Parketten,58.975601,5.721537,446
30.10.2020,00:50,Jernbanen,58.966341,5.732047,328
30.10.2020,00:50,Valberget,58.9721884,5.7299647,100
30.10.2020,00:50,Posten,58.969721,5.729923,159
30.10.2020,00:50,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:50,St Olav,58.966764,5.730807,380
30.10.2020,00:50,Siddis,58.954126,5.694017,170
30.10.2020,00:50,Forum,58.9523279,5.7046637,680
30.10.2020,00:50,Kyrre,58.969491,5.726946,301
30.10.2020,00:50,Parketten,58.975601,5.721537,446
30.10.2020,00:54,Jernbanen,58.966341,5.732047,328
30.10.2020,00:54,Valberget,58.9721884,5.7299647,100
30.10.2020,00:54,Posten,58.969721,5.729923,159
30.10.2020,00:54,Jorenholmen,58.971964,5.736688,457
30.10.2020,00:54,St Olav,58.966764,5.730807,380
30.10.2020,00:54,Siddis,58.954126,5.694017,170
30.10.2020,00:54,Forum,58.9523279,5.7046637,680
30.10.2020,00:54,Kyrre,58.969491,5.726946,301
30.10.2020,00:54,Parketten,58.975601,5.721537,446
