Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
20.11.2020,23:20,Jernbanen,58.966341,5.732047,326
20.11.2020,23:20,Valberget,58.9721884,5.7299647,120
20.11.2020,23:20,Posten,58.969721,5.729923,138
20.11.2020,23:20,Jorenholmen,58.971964,5.736688,432
20.11.2020,23:20,St Olav,58.966764,5.730807,357
20.11.2020,23:20,Siddis,58.954126,5.694017,320
20.11.2020,23:20,Forum,58.9523279,5.7046637,691
20.11.2020,23:20,Kyrre,58.969491,5.726946,247
20.11.2020,23:20,Parketten,58.975601,5.721537,603
20.11.2020,23:24,Jernbanen,58.966341,5.732047,326
20.11.2020,23:24,Valberget,58.9721884,5.7299647,120
20.11.2020,23:24,Posten,58.969721,5.729923,141
20.11.2020,23:24,Jorenholmen,58.971964,5.736688,433
20.11.2020,23:24,St Olav,58.966764,5.730807,357
20.11.2020,23:24,Siddis,58.954126,5.694017,320
20.11.2020,23:24,Forum,58.9523279,5.7046637,691
20.11.2020,23:24,Kyrre,58.969491,5.726946,247
20.11.2020,23:24,Parketten,58.975601,5.721537,603
20.11.2020,23:28,Jernbanen,58.966341,5.732047,326
20.11.2020,23:28,Valberget,58.9721884,5.7299647,120
20.11.2020,23:28,Posten,58.969721,5.729923,141
20.11.2020,23:28,Jorenholmen,58.971964,5.736688,433
20.11.2020,23:28,St Olav,58.966764,5.730807,357
20.11.2020,23:28,Siddis,58.954126,5.694017,320
20.11.2020,23:28,Forum,58.9523279,5.7046637,691
20.11.2020,23:28,Kyrre,58.969491,5.726946,247
20.11.2020,23:28,Parketten,58.975601,5.721537,604
20.11.2020,23:32,Jernbanen,58.966341,5.732047,326
20.11.2020,23:32,Valberget,58.9721884,5.7299647,120
20.11.2020,23:32,Posten,58.969721,5.729923,141
20.11.2020,23:32,Jorenholmen,58.971964,5.736688,432
20.11.2020,23:32,St Olav,58.966764,5.730807,357
20.11.2020,23:32,Siddis,58.954126,5.694017,320
20.11.2020,23:32,Forum,58.9523279,5.7046637,691
20.11.2020,23:32,Kyrre,58.969491,5.726946,247
20.11.2020,23:32,Parketten,58.975601,5.721537,604
20.11.2020,23:36,Jernbanen,58.966341,5.732047,325
20.11.2020,23:36,Valberget,58.9721884,5.7299647,120
20.11.2020,23:36,Posten,58.969721,5.729923,141
20.11.2020,23:36,Jorenholmen,58.971964,5.736688,432
20.11.2020,23:36,St Olav,58.966764,5.730807,357
20.11.2020,23:36,Siddis,58.954126,5.694017,320
20.11.2020,23:36,Forum,58.9523279,5.7046637,691
20.11.2020,23:36,Kyrre,58.969491,5.726946,247
20.11.2020,23:36,Parketten,58.975601,5.721537,604
20.11.2020,23:40,Jernbanen,58.966341,5.732047,326
20.11.2020,23:40,Valberget,58.9721884,5.7299647,120
20.11.2020,23:40,Posten,58.969721,5.729923,141
20.11.2020,23:40,Jorenholmen,58.971964,5.736688,432
20.11.2020,23:40,St Olav,58.966764,5.730807,357
20.11.2020,23:40,Siddis,58.954126,5.694017,320
20.11.2020,23:40,Forum,58.9523279,5.7046637,691
20.11.2020,23:40,Kyrre,58.969491,5.726946,247
20.11.2020,23:40,Parketten,58.975601,5.721537,604
20.11.2020,23:44,Jernbanen,58.966341,5.732047,326
20.11.2020,23:44,Valberget,58.9721884,5.7299647,121
20.11.2020,23:44,Posten,58.969721,5.729923,143
20.11.2020,23:44,Jorenholmen,58.971964,5.736688,433
20.11.2020,23:44,St Olav,58.966764,5.730807,357
20.11.2020,23:44,Siddis,58.954126,5.694017,320
20.11.2020,23:44,Forum,58.9523279,5.7046637,691
20.11.2020,23:44,Kyrre,58.969491,5.726946,247
20.11.2020,23:44,Parketten,58.975601,5.721537,604
20.11.2020,23:48,Jernbanen,58.966341,5.732047,327
20.11.2020,23:48,Valberget,58.9721884,5.7299647,121
20.11.2020,23:48,Posten,58.969721,5.729923,143
20.11.2020,23:48,Jorenholmen,58.971964,5.736688,433
20.11.2020,23:48,St Olav,58.966764,5.730807,357
20.11.2020,23:48,Siddis,58.954126,5.694017,320
20.11.2020,23:48,Forum,58.9523279,5.7046637,691
20.11.2020,23:48,Kyrre,58.969491,5.726946,247
20.11.2020,23:48,Parketten,58.975601,5.721537,604
20.11.2020,23:52,Jernbanen,58.966341,5.732047,328
20.11.2020,23:52,Valberget,58.9721884,5.7299647,123
20.11.2020,23:52,Posten,58.969721,5.729923,143
20.11.2020,23:52,Jorenholmen,58.971964,5.736688,435
20.11.2020,23:52,St Olav,58.966764,5.730807,356
20.11.2020,23:52,Siddis,58.954126,5.694017,320
20.11.2020,23:52,Forum,58.9523279,5.7046637,691
20.11.2020,23:52,Kyrre,58.969491,5.726946,247
20.11.2020,23:52,Parketten,58.975601,5.721537,604
