Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
04.12.2020,23:56,Jernbanen,58.966341,5.732047,309
04.12.2020,23:56,Valberget,58.9721884,5.7299647,113
04.12.2020,23:56,Posten,58.969721,5.729923,148
04.12.2020,23:56,Jorenholmen,58.971964,5.736688,444
04.12.2020,23:56,St Olav,58.966764,5.730807,330
04.12.2020,23:56,Siddis,58.954126,5.694017,311
04.12.2020,23:56,Forum,58.9523279,5.7046637,128
04.12.2020,23:56,Kyrre,58.969491,5.726946,225
04.12.2020,23:56,Parketten,58.975601,5.721537,359
05.12.2020,00:00,Jernbanen,58.966341,5.732047,309
05.12.2020,00:00,Valberget,58.9721884,5.7299647,116
05.12.2020,00:00,Posten,58.969721,5.729923,148
05.12.2020,00:00,Jorenholmen,58.971964,5.736688,445
05.12.2020,00:00,St Olav,58.966764,5.730807,331
05.12.2020,00:00,Siddis,58.954126,5.694017,311
05.12.2020,00:00,Forum,58.9523279,5.7046637,128
05.12.2020,00:00,Kyrre,58.969491,5.726946,225
05.12.2020,00:00,Parketten,58.975601,5.721537,360
05.12.2020,00:04,Jernbanen,58.966341,5.732047,309
05.12.2020,00:04,Valberget,58.9721884,5.7299647,117
05.12.2020,00:04,Posten,58.969721,5.729923,148
05.12.2020,00:04,Jorenholmen,58.971964,5.736688,445
05.12.2020,00:04,St Olav,58.966764,5.730807,331
05.12.2020,00:04,Siddis,58.954126,5.694017,311
05.12.2020,00:04,Forum,58.9523279,5.7046637,128
05.12.2020,00:04,Kyrre,58.969491,5.726946,225
05.12.2020,00:04,Parketten,58.975601,5.721537,362
05.12.2020,00:08,Jernbanen,58.966341,5.732047,308
05.12.2020,00:08,Valberget,58.9721884,5.7299647,119
05.12.2020,00:08,Posten,58.969721,5.729923,148
05.12.2020,00:08,Jorenholmen,58.971964,5.736688,445
05.12.2020,00:08,St Olav,58.966764,5.730807,331
05.12.2020,00:08,Siddis,58.954126,5.694017,311
05.12.2020,00:08,Forum,58.9523279,5.7046637,128
05.12.2020,00:08,Kyrre,58.969491,5.726946,225
05.12.2020,00:08,Parketten,58.975601,5.721537,362
05.12.2020,00:12,Jernbanen,58.966341,5.732047,308
05.12.2020,00:12,Valberget,58.9721884,5.7299647,119
05.12.2020,00:12,Posten,58.969721,5.729923,148
05.12.2020,00:12,Jorenholmen,58.971964,5.736688,446
05.12.2020,00:12,St Olav,58.966764,5.730807,330
05.12.2020,00:12,Siddis,58.954126,5.694017,311
05.12.2020,00:12,Forum,58.9523279,5.7046637,128
05.12.2020,00:12,Kyrre,58.969491,5.726946,225
05.12.2020,00:12,Parketten,58.975601,5.721537,362
05.12.2020,00:12,Jernbanen,58.966341,5.732047,308
05.12.2020,00:12,Valberget,58.9721884,5.7299647,119
05.12.2020,00:12,Posten,58.969721,5.729923,148
05.12.2020,00:12,Jorenholmen,58.971964,5.736688,446
05.12.2020,00:12,St Olav,58.966764,5.730807,330
05.12.2020,00:12,Siddis,58.954126,5.694017,311
05.12.2020,00:12,Forum,58.9523279,5.7046637,128
05.12.2020,00:12,Kyrre,58.969491,5.726946,225
05.12.2020,00:12,Parketten,58.975601,5.721537,362
05.12.2020,00:12,Jernbanen,58.966341,5.732047,308
05.12.2020,00:12,Valberget,58.9721884,5.7299647,119
05.12.2020,00:12,Posten,58.969721,5.729923,148
05.12.2020,00:12,Jorenholmen,58.971964,5.736688,446
05.12.2020,00:12,St Olav,58.966764,5.730807,330
05.12.2020,00:12,Siddis,58.954126,5.694017,311
05.12.2020,00:12,Forum,58.9523279,5.7046637,128
05.12.2020,00:12,Kyrre,58.969491,5.726946,225
05.12.2020,00:12,Parketten,58.975601,5.721537,362
05.12.2020,00:24,Jernbanen,58.966341,5.732047,310
05.12.2020,00:24,Valberget,58.9721884,5.7299647,119
05.12.2020,00:24,Posten,58.969721,5.729923,149
05.12.2020,00:24,Jorenholmen,58.971964,5.736688,447
05.12.2020,00:24,St Olav,58.966764,5.730807,329
05.12.2020,00:24,Siddis,58.954126,5.694017,311
05.12.2020,00:24,Forum,58.9523279,5.7046637,128
05.12.2020,00:24,Kyrre,58.969491,5.726946,225
05.12.2020,00:24,Parketten,58.975601,5.721537,363
05.12.2020,00:28,Jernbanen,58.966341,5.732047,310
05.12.2020,00:28,Valberget,58.9721884,5.7299647,119
05.12.2020,00:28,Posten,58.969721,5.729923,149
05.12.2020,00:28,Jorenholmen,58.971964,5.736688,447
05.12.2020,00:28,St Olav,58.966764,5.730807,329
05.12.2020,00:28,Siddis,58.954126,5.694017,311
05.12.2020,00:28,Forum,58.9523279,5.7046637,128
05.12.2020,00:28,Kyrre,58.969491,5.726946,225
