Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
20.11.2020,21:52,Jernbanen,58.966341,5.732047,278
20.11.2020,21:52,Valberget,58.9721884,5.7299647,103
20.11.2020,21:52,Posten,58.969721,5.729923,117
20.11.2020,21:52,Jorenholmen,58.971964,5.736688,412
20.11.2020,21:52,St Olav,58.966764,5.730807,355
20.11.2020,21:52,Siddis,58.954126,5.694017,320
20.11.2020,21:52,Forum,58.9523279,5.7046637,686
20.11.2020,21:52,Kyrre,58.969491,5.726946,247
20.11.2020,21:52,Parketten,58.975601,5.721537,575
20.11.2020,21:56,Jernbanen,58.966341,5.732047,278
20.11.2020,21:56,Valberget,58.9721884,5.7299647,103
20.11.2020,21:56,Posten,58.969721,5.729923,117
20.11.2020,21:56,Jorenholmen,58.971964,5.736688,413
20.11.2020,21:56,St Olav,58.966764,5.730807,355
20.11.2020,21:56,Siddis,58.954126,5.694017,320
20.11.2020,21:56,Forum,58.9523279,5.7046637,686
20.11.2020,21:56,Kyrre,58.969491,5.726946,247
20.11.2020,21:56,Parketten,58.975601,5.721537,576
20.11.2020,22:00,Jernbanen,58.966341,5.732047,280
20.11.2020,22:00,Valberget,58.9721884,5.7299647,103
20.11.2020,22:00,Posten,58.969721,5.729923,119
20.11.2020,22:00,Jorenholmen,58.971964,5.736688,413
20.11.2020,22:00,St Olav,58.966764,5.730807,356
20.11.2020,22:00,Siddis,58.954126,5.694017,320
20.11.2020,22:00,Forum,58.9523279,5.7046637,686
20.11.2020,22:00,Kyrre,58.969491,5.726946,247
20.11.2020,22:00,Parketten,58.975601,5.721537,576
20.11.2020,22:04,Jernbanen,58.966341,5.732047,280
20.11.2020,22:04,Valberget,58.9721884,5.7299647,103
20.11.2020,22:04,Posten,58.969721,5.729923,118
20.11.2020,22:04,Jorenholmen,58.971964,5.736688,413
20.11.2020,22:04,St Olav,58.966764,5.730807,356
20.11.2020,22:04,Siddis,58.954126,5.694017,320
20.11.2020,22:04,Forum,58.9523279,5.7046637,686
20.11.2020,22:04,Kyrre,58.969491,5.726946,247
20.11.2020,22:04,Parketten,58.975601,5.721537,576
20.11.2020,22:08,Jernbanen,58.966341,5.732047,282
20.11.2020,22:08,Valberget,58.9721884,5.7299647,104
20.11.2020,22:08,Posten,58.969721,5.729923,118
20.11.2020,22:08,Jorenholmen,58.971964,5.736688,413
20.11.2020,22:08,St Olav,58.966764,5.730807,359
20.11.2020,22:08,Siddis,58.954126,5.694017,320
20.11.2020,22:08,Forum,58.9523279,5.7046637,686
20.11.2020,22:08,Kyrre,58.969491,5.726946,247
20.11.2020,22:08,Parketten,58.975601,5.721537,576
20.11.2020,22:12,Jernbanen,58.966341,5.732047,283
20.11.2020,22:12,Valberget,58.9721884,5.7299647,106
20.11.2020,22:12,Posten,58.969721,5.729923,119
20.11.2020,22:12,Jorenholmen,58.971964,5.736688,414
20.11.2020,22:12,St Olav,58.966764,5.730807,359
20.11.2020,22:12,Siddis,58.954126,5.694017,320
20.11.2020,22:12,Forum,58.9523279,5.7046637,686
20.11.2020,22:12,Kyrre,58.969491,5.726946,247
20.11.2020,22:12,Parketten,58.975601,5.721537,576
20.11.2020,22:16,Jernbanen,58.966341,5.732047,285
20.11.2020,22:16,Valberget,58.9721884,5.7299647,107
20.11.2020,22:16,Posten,58.969721,5.729923,121
20.11.2020,22:16,Jorenholmen,58.971964,5.736688,415
20.11.2020,22:16,St Olav,58.966764,5.730807,359
20.11.2020,22:16,Siddis,58.954126,5.694017,320
20.11.2020,22:16,Forum,58.9523279,5.7046637,686
20.11.2020,22:16,Kyrre,58.969491,5.726946,247
20.11.2020,22:16,Parketten,58.975601,5.721537,578
20.11.2020,22:20,Jernbanen,58.966341,5.732047,288
20.11.2020,22:20,Valberget,58.9721884,5.7299647,108
20.11.2020,22:20,Posten,58.969721,5.729923,121
20.11.2020,22:20,Jorenholmen,58.971964,5.736688,416
20.11.2020,22:20,St Olav,58.966764,5.730807,360
20.11.2020,22:20,Siddis,58.954126,5.694017,320
20.11.2020,22:20,Forum,58.9523279,5.7046637,686
20.11.2020,22:20,Kyrre,58.969491,5.726946,247
20.11.2020,22:20,Parketten,58.975601,5.721537,579
20.11.2020,22:24,Jernbanen,58.966341,5.732047,286
20.11.2020,22:24,Valberget,58.9721884,5.7299647,108
20.11.2020,22:24,Posten,58.969721,5.729923,122
20.11.2020,22:24,Jorenholmen,58.971964,5.736688,417
20.11.2020,22:24,St Olav,58.966764,5.730807,360
20.11.2020,22:24,Siddis,58.954126,5.694017,320
20.11.2020,22:24,Forum,58.9523279,5.7046637,688
20.11.2020,22:24,Kyrre,58.969491,5.726946,247
20.11.2020,22:24,Parketten,58.975601,5.721537,581
