Dato,Klokkeslett,Sted,Latitude,Longitude,Antall_ledige_plasser
30.11.2020,23:56,Jernbanen,58.966341,5.732047,354
30.11.2020,23:56,Valberget,58.9721884,5.7299647,125
30.11.2020,23:56,Posten,58.969721,5.729923,172
30.11.2020,23:56,Jorenholmen,58.971964,5.736688,468
30.11.2020,23:56,St Olav,58.966764,5.730807,364
30.11.2020,23:56,Siddis,58.954126,5.694017,315
30.11.2020,23:56,Forum,58.9523279,5.7046637,157
30.11.2020,23:56,Kyrre,58.969491,5.726946,266
30.11.2020,23:56,Parketten,58.975601,5.721537,139
01.12.2020,00:00,Jernbanen,58.966341,5.732047,354
01.12.2020,00:00,Valberget,58.9721884,5.7299647,125
01.12.2020,00:00,Posten,58.969721,5.729923,172
01.12.2020,00:00,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:00,St Olav,58.966764,5.730807,364
01.12.2020,00:00,Siddis,58.954126,5.694017,315
01.12.2020,00:00,Forum,58.9523279,5.7046637,157
01.12.2020,00:00,Kyrre,58.969491,5.726946,266
01.12.2020,00:00,Parketten,58.975601,5.721537,139
01.12.2020,00:04,Jernbanen,58.966341,5.732047,354
01.12.2020,00:04,Valberget,58.9721884,5.7299647,125
01.12.2020,00:04,Posten,58.969721,5.729923,172
01.12.2020,00:04,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:04,St Olav,58.966764,5.730807,364
01.12.2020,00:04,Siddis,58.954126,5.694017,315
01.12.2020,00:04,Forum,58.9523279,5.7046637,157
01.12.2020,00:04,Kyrre,58.969491,5.726946,266
01.12.2020,00:04,Parketten,58.975601,5.721537,139
01.12.2020,00:08,Jernbanen,58.966341,5.732047,354
01.12.2020,00:08,Valberget,58.9721884,5.7299647,125
01.12.2020,00:08,Posten,58.969721,5.729923,172
01.12.2020,00:08,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:08,St Olav,58.966764,5.730807,364
01.12.2020,00:08,Siddis,58.954126,5.694017,315
01.12.2020,00:08,Forum,58.9523279,5.7046637,157
01.12.2020,00:08,Kyrre,58.969491,5.726946,266
01.12.2020,00:08,Parketten,58.975601,5.721537,139
01.12.2020,00:12,Jernbanen,58.966341,5.732047,354
01.12.2020,00:12,Valberget,58.9721884,5.7299647,125
01.12.2020,00:12,Posten,58.969721,5.729923,172
01.12.2020,00:12,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:12,St Olav,58.966764,5.730807,364
01.12.2020,00:12,Siddis,58.954126,5.694017,315
01.12.2020,00:12,Forum,58.9523279,5.7046637,157
01.12.2020,00:12,Kyrre,58.969491,5.726946,266
01.12.2020,00:12,Parketten,58.975601,5.721537,139
01.12.2020,00:16,Jernbanen,58.966341,5.732047,354
01.12.2020,00:16,Valberget,58.9721884,5.7299647,125
01.12.2020,00:16,Posten,58.969721,5.729923,172
01.12.2020,00:16,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:16,St Olav,58.966764,5.730807,362
01.12.2020,00:16,Siddis,58.954126,5.694017,315
01.12.2020,00:16,Forum,58.9523279,5.7046637,157
01.12.2020,00:16,Kyrre,58.969491,5.726946,266
01.12.2020,00:16,Parketten,58.975601,5.721537,139
01.12.2020,00:20,Jernbanen,58.966341,5.732047,354
01.12.2020,00:20,Valberget,58.9721884,5.7299647,125
01.12.2020,00:20,Posten,58.969721,5.729923,172
01.12.2020,00:20,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:20,St Olav,58.966764,5.730807,362
01.12.2020,00:20,Siddis,58.954126,5.694017,315
01.12.2020,00:20,Forum,58.9523279,5.7046637,157
01.12.2020,00:20,Kyrre,58.969491,5.726946,266
01.12.2020,00:20,Parketten,58.975601,5.721537,139
01.12.2020,00:24,Jernbanen,58.966341,5.732047,354
01.12.2020,00:24,Valberget,58.9721884,5.7299647,125
01.12.2020,00:24,Posten,58.969721,5.729923,172
01.12.2020,00:24,Jorenholmen,58.971964,5.736688,468
01.12.2020,00:24,St Olav,58.966764,5.730807,362
01.12.2020,00:24,Siddis,58.954126,5.694017,315
01.12.2020,00:24,Forum,58.9523279,5.7046637,157
01.12.2020,00:24,Kyrre,58.969491,5.726946,266
01.12.2020,00:24,Parketten,58.975601,5.721537,139
01.12.2020,00:28,Jernbanen,58.966341,5.732047,354
